date,SwagBucks,isPartial
2016-12-25,78,False
2017-01-01,80,False
2017-01-08,76,False
2017-01-15,68,False
2017-01-22,77,False
2017-01-29,69,False
2017-02-05,63,False
2017-02-12,65,False
2017-02-19,63,False
2017-02-26,83,False
2017-03-05,64,False
2017-03-12,63,False
2017-03-19,76,False
2017-03-26,73,False
2017-04-02,71,False
2017-04-09,71,False
2017-04-16,71,False
2017-04-23,76,False
2017-04-30,75,False
2017-05-07,71,False
2017-05-14,65,False
2017-05-21,75,False
2017-05-28,71,False
2017-06-04,68,False
2017-06-11,78,False
2017-06-18,78,False
2017-06-25,84,False
2017-07-02,73,False
2017-07-09,84,False
2017-07-16,91,False
2017-07-23,93,False
2017-07-30,90,False
2017-08-06,88,False
2017-08-13,91,False
2017-08-20,87,False
2017-08-27,92,False
2017-09-03,79,False
2017-09-10,86,False
2017-09-17,88,False
2017-09-24,81,False
2017-10-01,86,False
2017-10-08,96,False
2017-10-15,89,False
2017-10-22,83,False
2017-10-29,78,False
2017-11-05,100,False
2017-11-12,93,False
2017-11-19,77,False
2017-11-26,81,False
2017-12-03,79,False
2017-12-10,80,False
2017-12-17,72,True
