date,Visio,isPartial
2016-12-25,59,False
2017-01-01,73,False
2017-01-08,83,False
2017-01-15,91,False
2017-01-22,89,False
2017-01-29,91,False
2017-02-05,96,False
2017-02-12,93,False
2017-02-19,92,False
2017-02-26,96,False
2017-03-05,98,False
2017-03-12,93,False
2017-03-19,96,False
2017-03-26,100,False
2017-04-02,93,False
2017-04-09,86,False
2017-04-16,89,False
2017-04-23,88,False
2017-04-30,85,False
2017-05-07,92,False
2017-05-14,91,False
2017-05-21,84,False
2017-05-28,83,False
2017-06-04,86,False
2017-06-11,88,False
2017-06-18,83,False
2017-06-25,78,False
2017-07-02,76,False
2017-07-09,82,False
2017-07-16,82,False
2017-07-23,81,False
2017-07-30,81,False
2017-08-06,82,False
2017-08-13,79,False
2017-08-20,80,False
2017-08-27,81,False
2017-09-03,83,False
2017-09-10,87,False
2017-09-17,86,False
2017-09-24,84,False
2017-10-01,89,False
2017-10-08,89,False
2017-10-15,90,False
2017-10-22,91,False
2017-10-29,85,False
2017-11-05,92,False
2017-11-12,93,False
2017-11-19,84,False
2017-11-26,83,False
2017-12-03,81,False
2017-12-10,83,False
2017-12-17,80,True
