date,Clinton,isPartial
2016-12-25,53,False
2017-01-01,53,False
2017-01-08,56,False
2017-01-15,100,False
2017-01-22,85,False
2017-01-29,60,False
2017-02-05,54,False
2017-02-12,53,False
2017-02-19,46,False
2017-02-26,47,False
2017-03-05,44,False
2017-03-12,40,False
2017-03-19,43,False
2017-03-26,44,False
2017-04-02,44,False
2017-04-09,38,False
2017-04-16,41,False
2017-04-23,42,False
2017-04-30,45,False
2017-05-07,48,False
2017-05-14,49,False
2017-05-21,46,False
2017-05-28,48,False
2017-06-04,44,False
2017-06-11,41,False
2017-06-18,40,False
2017-06-25,40,False
2017-07-02,37,False
2017-07-09,49,False
2017-07-16,42,False
2017-07-23,41,False
2017-07-30,41,False
2017-08-06,43,False
2017-08-13,43,False
2017-08-20,41,False
2017-08-27,38,False
2017-09-03,40,False
2017-09-10,51,False
2017-09-17,46,False
2017-09-24,40,False
2017-10-01,39,False
2017-10-08,42,False
2017-10-15,50,False
2017-10-22,57,False
2017-10-29,51,False
2017-11-05,43,False
2017-11-12,45,False
2017-11-19,40,False
2017-11-26,40,False
2017-12-03,40,False
2017-12-10,38,False
2017-12-17,34,True
