date,High Voltage,isPartial
2016-12-25,71,False
2017-01-01,75,False
2017-01-08,85,False
2017-01-15,80,False
2017-01-22,79,False
2017-01-29,89,False
2017-02-05,88,False
2017-02-12,89,False
2017-02-19,91,False
2017-02-26,94,False
2017-03-05,88,False
2017-03-12,89,False
2017-03-19,93,False
2017-03-26,87,False
2017-04-02,87,False
2017-04-09,84,False
2017-04-16,93,False
2017-04-23,79,False
2017-04-30,87,False
2017-05-07,88,False
2017-05-14,81,False
2017-05-21,83,False
2017-05-28,78,False
2017-06-04,78,False
2017-06-11,85,False
2017-06-18,84,False
2017-06-25,77,False
2017-07-02,84,False
2017-07-09,86,False
2017-07-16,90,False
2017-07-23,92,False
2017-07-30,85,False
2017-08-06,92,False
2017-08-13,77,False
2017-08-20,78,False
2017-08-27,78,False
2017-09-03,88,False
2017-09-10,89,False
2017-09-17,83,False
2017-09-24,79,False
2017-10-01,80,False
2017-10-08,85,False
2017-10-15,83,False
2017-10-22,91,False
2017-10-29,80,False
2017-11-05,88,False
2017-11-12,91,False
2017-11-19,85,False
2017-11-26,100,False
2017-12-03,81,False
2017-12-10,84,False
2017-12-17,80,True
