date,The ChampCoin,isPartial
2016-12-25,0,False
2017-01-01,0,False
2017-01-08,0,False
2017-01-15,0,False
2017-01-22,34,False
2017-01-29,33,False
2017-02-05,32,False
2017-02-12,33,False
2017-02-19,58,False
2017-02-26,48,False
2017-03-05,39,False
2017-03-12,16,False
2017-03-19,48,False
2017-03-26,50,False
2017-04-02,17,False
2017-04-09,67,False
2017-04-16,17,False
2017-04-23,57,False
2017-04-30,17,False
2017-05-07,64,False
2017-05-14,78,False
2017-05-21,71,False
2017-05-28,43,False
2017-06-04,0,False
2017-06-11,43,False
2017-06-18,0,False
2017-06-25,36,False
2017-07-02,0,False
2017-07-09,0,False
2017-07-16,18,False
2017-07-23,18,False
2017-07-30,18,False
2017-08-06,42,False
2017-08-13,68,False
2017-08-20,68,False
2017-08-27,51,False
2017-09-03,100,False
2017-09-10,66,False
2017-09-17,32,False
2017-09-24,17,False
2017-10-01,17,False
2017-10-08,64,False
2017-10-15,41,False
2017-10-22,0,False
2017-10-29,33,False
2017-11-05,33,False
2017-11-12,24,False
2017-11-19,0,False
2017-11-26,48,False
2017-12-03,16,False
2017-12-10,56,False
2017-12-17,39,True
