date,CBD Crystals,isPartial
2016-12-25,46,False
2017-01-01,60,False
2017-01-08,41,False
2017-01-15,75,False
2017-01-22,66,False
2017-01-29,60,False
2017-02-05,65,False
2017-02-12,99,False
2017-02-19,61,False
2017-02-26,84,False
2017-03-05,39,False
2017-03-12,59,False
2017-03-19,30,False
2017-03-26,71,False
2017-04-02,35,False
2017-04-09,26,False
2017-04-16,50,False
2017-04-23,90,False
2017-04-30,36,False
2017-05-07,25,False
2017-05-14,58,False
2017-05-21,49,False
2017-05-28,99,False
2017-06-04,42,False
2017-06-11,81,False
2017-06-18,67,False
2017-06-25,55,False
2017-07-02,61,False
2017-07-09,76,False
2017-07-16,71,False
2017-07-23,59,False
2017-07-30,63,False
2017-08-06,78,False
2017-08-13,59,False
2017-08-20,100,False
2017-08-27,83,False
2017-09-03,73,False
2017-09-10,76,False
2017-09-17,67,False
2017-09-24,56,False
2017-10-01,62,False
2017-10-08,61,False
2017-10-15,36,False
2017-10-22,80,False
2017-10-29,15,False
2017-11-05,59,False
2017-11-12,64,False
2017-11-19,44,False
2017-11-26,69,False
2017-12-03,40,False
2017-12-10,40,False
2017-12-17,28,True
