date,BOAT,isPartial
2016-12-25,48,False
2017-01-01,52,False
2017-01-08,52,False
2017-01-15,53,False
2017-01-22,54,False
2017-01-29,52,False
2017-02-05,52,False
2017-02-12,57,False
2017-02-19,59,False
2017-02-26,59,False
2017-03-05,58,False
2017-03-12,56,False
2017-03-19,59,False
2017-03-26,65,False
2017-04-02,71,False
2017-04-09,66,False
2017-04-16,67,False
2017-04-23,65,False
2017-04-30,69,False
2017-05-07,69,False
2017-05-14,71,False
2017-05-21,77,False
2017-05-28,85,False
2017-06-04,80,False
2017-06-11,85,False
2017-06-18,86,False
2017-06-25,88,False
2017-07-02,100,False
2017-07-09,91,False
2017-07-16,90,False
2017-07-23,87,False
2017-07-30,89,False
2017-08-06,82,False
2017-08-13,78,False
2017-08-20,74,False
2017-08-27,70,False
2017-09-03,65,False
2017-09-10,58,False
2017-09-17,58,False
2017-09-24,55,False
2017-10-01,53,False
2017-10-08,54,False
2017-10-15,51,False
2017-10-22,48,False
2017-10-29,47,False
2017-11-05,46,False
2017-11-12,44,False
2017-11-19,44,False
2017-11-26,45,False
2017-12-03,48,False
2017-12-10,46,False
2017-12-17,45,True
