date,Gambit,isPartial
2016-12-25,48,False
2017-01-01,52,False
2017-01-08,48,False
2017-01-15,50,False
2017-01-22,77,False
2017-01-29,44,False
2017-02-05,46,False
2017-02-12,54,False
2017-02-19,49,False
2017-02-26,49,False
2017-03-05,66,False
2017-03-12,48,False
2017-03-19,51,False
2017-03-26,47,False
2017-04-02,48,False
2017-04-09,47,False
2017-04-16,48,False
2017-04-23,47,False
2017-04-30,42,False
2017-05-07,45,False
2017-05-14,39,False
2017-05-21,43,False
2017-05-28,43,False
2017-06-04,38,False
2017-06-11,44,False
2017-06-18,43,False
2017-06-25,56,False
2017-07-02,44,False
2017-07-09,48,False
2017-07-16,84,False
2017-07-23,100,False
2017-07-30,50,False
2017-08-06,47,False
2017-08-13,43,False
2017-08-20,44,False
2017-08-27,45,False
2017-09-03,40,False
2017-09-10,46,False
2017-09-17,42,False
2017-09-24,44,False
2017-10-01,39,False
2017-10-08,51,False
2017-10-15,44,False
2017-10-22,47,False
2017-10-29,43,False
2017-11-05,40,False
2017-11-12,37,False
2017-11-19,42,False
2017-11-26,42,False
2017-12-03,42,False
2017-12-10,46,False
2017-12-17,44,True
