date,Magnet,isPartial
2016-12-25,74,False
2017-01-01,90,False
2017-01-08,96,False
2017-01-15,100,False
2017-01-22,98,False
2017-01-29,94,False
2017-02-05,93,False
2017-02-12,90,False
2017-02-19,91,False
2017-02-26,93,False
2017-03-05,91,False
2017-03-12,92,False
2017-03-19,91,False
2017-03-26,83,False
2017-04-02,83,False
2017-04-09,80,False
2017-04-16,83,False
2017-04-23,85,False
2017-04-30,83,False
2017-05-07,87,False
2017-05-14,87,False
2017-05-21,84,False
2017-05-28,79,False
2017-06-04,76,False
2017-06-11,77,False
2017-06-18,73,False
2017-06-25,75,False
2017-07-02,73,False
2017-07-09,77,False
2017-07-16,82,False
2017-07-23,81,False
2017-07-30,82,False
2017-08-06,83,False
2017-08-13,81,False
2017-08-20,77,False
2017-08-27,81,False
2017-09-03,80,False
2017-09-10,83,False
2017-09-17,78,False
2017-09-24,84,False
2017-10-01,85,False
2017-10-08,90,False
2017-10-15,86,False
2017-10-22,88,False
2017-10-29,89,False
2017-11-05,88,False
2017-11-12,89,False
2017-11-19,87,False
2017-11-26,93,False
2017-12-03,93,False
2017-12-10,88,False
2017-12-17,78,True
