date,Royalties,isPartial
2016-12-25,82,False
2017-01-01,73,False
2017-01-08,78,False
2017-01-15,71,False
2017-01-22,84,False
2017-01-29,85,False
2017-02-05,80,False
2017-02-12,89,False
2017-02-19,86,False
2017-02-26,84,False
2017-03-05,84,False
2017-03-12,86,False
2017-03-19,76,False
2017-03-26,88,False
2017-04-02,87,False
2017-04-09,72,False
2017-04-16,81,False
2017-04-23,78,False
2017-04-30,80,False
2017-05-07,81,False
2017-05-14,72,False
2017-05-21,81,False
2017-05-28,81,False
2017-06-04,77,False
2017-06-11,76,False
2017-06-18,67,False
2017-06-25,75,False
2017-07-02,69,False
2017-07-09,67,False
2017-07-16,74,False
2017-07-23,71,False
2017-07-30,82,False
2017-08-06,77,False
2017-08-13,75,False
2017-08-20,78,False
2017-08-27,74,False
2017-09-03,70,False
2017-09-10,76,False
2017-09-17,66,False
2017-09-24,95,False
2017-10-01,78,False
2017-10-08,72,False
2017-10-15,81,False
2017-10-22,81,False
2017-10-29,73,False
2017-11-05,74,False
2017-11-12,78,False
2017-11-19,68,False
2017-11-26,86,False
2017-12-03,96,False
2017-12-10,95,False
2017-12-17,100,True
