date,Nxt,isPartial
2016-12-25,44,False
2017-01-01,47,False
2017-01-08,43,False
2017-01-15,40,False
2017-01-22,53,False
2017-01-29,73,False
2017-02-05,41,False
2017-02-12,43,False
2017-02-19,44,False
2017-02-26,40,False
2017-03-05,40,False
2017-03-12,44,False
2017-03-19,47,False
2017-03-26,62,False
2017-04-02,92,False
2017-04-09,50,False
2017-04-16,43,False
2017-04-23,46,False
2017-04-30,48,False
2017-05-07,50,False
2017-05-14,59,False
2017-05-21,69,False
2017-05-28,47,False
2017-06-04,43,False
2017-06-11,99,False
2017-06-18,73,False
2017-06-25,60,False
2017-07-02,55,False
2017-07-09,53,False
2017-07-16,55,False
2017-07-23,69,False
2017-07-30,70,False
2017-08-06,75,False
2017-08-13,80,False
2017-08-20,99,False
2017-08-27,57,False
2017-09-03,61,False
2017-09-10,62,False
2017-09-17,75,False
2017-09-24,67,False
2017-10-01,67,False
2017-10-08,72,False
2017-10-15,77,False
2017-10-22,66,False
2017-10-29,63,False
2017-11-05,64,False
2017-11-12,67,False
2017-11-19,85,False
2017-11-26,70,False
2017-12-03,86,False
2017-12-10,90,False
2017-12-17,100,True
