date,Omni,isPartial
2016-12-25,88,False
2017-01-01,92,False
2017-01-08,96,False
2017-01-15,90,False
2017-01-22,88,False
2017-01-29,93,False
2017-02-05,94,False
2017-02-12,88,False
2017-02-19,97,False
2017-02-26,92,False
2017-03-05,97,False
2017-03-12,95,False
2017-03-19,95,False
2017-03-26,97,False
2017-04-02,93,False
2017-04-09,87,False
2017-04-16,89,False
2017-04-23,89,False
2017-04-30,93,False
2017-05-07,88,False
2017-05-14,90,False
2017-05-21,93,False
2017-05-28,89,False
2017-06-04,88,False
2017-06-11,93,False
2017-06-18,91,False
2017-06-25,96,False
2017-07-02,92,False
2017-07-09,95,False
2017-07-16,100,False
2017-07-23,99,False
2017-07-30,100,False
2017-08-06,97,False
2017-08-13,95,False
2017-08-20,94,False
2017-08-27,93,False
2017-09-03,93,False
2017-09-10,90,False
2017-09-17,93,False
2017-09-24,93,False
2017-10-01,95,False
2017-10-08,91,False
2017-10-15,87,False
2017-10-22,89,False
2017-10-29,88,False
2017-11-05,95,False
2017-11-12,93,False
2017-11-19,87,False
2017-11-26,91,False
2017-12-03,93,False
2017-12-10,93,False
2017-12-17,91,True
