date,Digital Credits,isPartial
2016-12-25,56,False
2017-01-01,38,False
2017-01-08,64,False
2017-01-15,29,False
2017-01-22,85,False
2017-01-29,43,False
2017-02-05,35,False
2017-02-12,21,False
2017-02-19,35,False
2017-02-26,21,False
2017-03-05,41,False
2017-03-12,61,False
2017-03-19,42,False
2017-03-26,49,False
2017-04-02,35,False
2017-04-09,72,False
2017-04-16,43,False
2017-04-23,28,False
2017-04-30,35,False
2017-05-07,63,False
2017-05-14,60,False
2017-05-21,46,False
2017-05-28,68,False
2017-06-04,52,False
2017-06-11,60,False
2017-06-18,81,False
2017-06-25,54,False
2017-07-02,31,False
2017-07-09,100,False
2017-07-16,30,False
2017-07-23,38,False
2017-07-30,37,False
2017-08-06,44,False
2017-08-13,59,False
2017-08-20,73,False
2017-08-27,37,False
2017-09-03,59,False
2017-09-10,65,False
2017-09-17,35,False
2017-09-24,57,False
2017-10-01,50,False
2017-10-08,49,False
2017-10-15,64,False
2017-10-22,78,False
2017-10-29,35,False
2017-11-05,69,False
2017-11-12,83,False
2017-11-19,62,False
2017-11-26,54,False
2017-12-03,49,False
2017-12-10,69,False
2017-12-17,91,True
