date,Opal,isPartial
2016-12-25,88,False
2017-01-01,94,False
2017-01-08,90,False
2017-01-15,90,False
2017-01-22,92,False
2017-01-29,100,False
2017-02-05,91,False
2017-02-12,97,False
2017-02-19,94,False
2017-02-26,93,False
2017-03-05,99,False
2017-03-12,92,False
2017-03-19,93,False
2017-03-26,96,False
2017-04-02,99,False
2017-04-09,93,False
2017-04-16,95,False
2017-04-23,93,False
2017-04-30,90,False
2017-05-07,91,False
2017-05-14,86,False
2017-05-21,89,False
2017-05-28,90,False
2017-06-04,86,False
2017-06-11,88,False
2017-06-18,92,False
2017-06-25,96,False
2017-07-02,91,False
2017-07-09,94,False
2017-07-16,91,False
2017-07-23,92,False
2017-07-30,94,False
2017-08-06,91,False
2017-08-13,88,False
2017-08-20,91,False
2017-08-27,88,False
2017-09-03,93,False
2017-09-10,94,False
2017-09-17,84,False
2017-09-24,89,False
2017-10-01,94,False
2017-10-08,98,False
2017-10-15,93,False
2017-10-22,91,False
2017-10-29,88,False
2017-11-05,89,False
2017-11-12,94,False
2017-11-19,93,False
2017-11-26,96,False
2017-12-03,94,False
2017-12-10,98,False
2017-12-17,93,True
