date,Bitbase,isPartial
2016-12-25,0,False
2017-01-01,1,False
2017-01-08,0,False
2017-01-15,1,False
2017-01-22,1,False
2017-01-29,0,False
2017-02-05,0,False
2017-02-12,2,False
2017-02-19,0,False
2017-02-26,1,False
2017-03-05,0,False
2017-03-12,0,False
2017-03-19,2,False
2017-03-26,0,False
2017-04-02,1,False
2017-04-09,0,False
2017-04-16,1,False
2017-04-23,2,False
2017-04-30,1,False
2017-05-07,0,False
2017-05-14,0,False
2017-05-21,3,False
2017-05-28,0,False
2017-06-04,0,False
2017-06-11,0,False
2017-06-18,0,False
2017-06-25,2,False
2017-07-02,2,False
2017-07-09,0,False
2017-07-16,1,False
2017-07-23,0,False
2017-07-30,1,False
2017-08-06,1,False
2017-08-13,0,False
2017-08-20,1,False
2017-08-27,1,False
2017-09-03,1,False
2017-09-10,0,False
2017-09-17,0,False
2017-09-24,3,False
2017-10-01,11,False
2017-10-08,27,False
2017-10-15,46,False
2017-10-22,76,False
2017-10-29,100,False
2017-11-05,43,False
2017-11-12,18,False
2017-11-19,15,False
2017-11-26,19,False
2017-12-03,10,False
2017-12-10,11,False
2017-12-17,17,True
