date,XP,isPartial
2016-12-25,93,False
2017-01-01,91,False
2017-01-08,92,False
2017-01-15,91,False
2017-01-22,91,False
2017-01-29,89,False
2017-02-05,90,False
2017-02-12,91,False
2017-02-19,91,False
2017-02-26,87,False
2017-03-05,86,False
2017-03-12,87,False
2017-03-19,86,False
2017-03-26,84,False
2017-04-02,82,False
2017-04-09,83,False
2017-04-16,80,False
2017-04-23,80,False
2017-04-30,76,False
2017-05-07,81,False
2017-05-14,100,False
2017-05-21,78,False
2017-05-28,74,False
2017-06-04,74,False
2017-06-11,75,False
2017-06-18,72,False
2017-06-25,76,False
2017-07-02,74,False
2017-07-09,74,False
2017-07-16,74,False
2017-07-23,77,False
2017-07-30,73,False
2017-08-06,73,False
2017-08-13,71,False
2017-08-20,71,False
2017-08-27,72,False
2017-09-03,71,False
2017-09-10,70,False
2017-09-17,72,False
2017-09-24,68,False
2017-10-01,72,False
2017-10-08,72,False
2017-10-15,70,False
2017-10-22,73,False
2017-10-29,72,False
2017-11-05,72,False
2017-11-12,73,False
2017-11-19,72,False
2017-11-26,70,False
2017-12-03,69,False
2017-12-10,69,False
2017-12-17,73,True
