date,Desire,isPartial
2016-12-25,100,False
2017-01-01,100,False
2017-01-08,95,False
2017-01-15,94,False
2017-01-22,97,False
2017-01-29,93,False
2017-02-05,90,False
2017-02-12,90,False
2017-02-19,88,False
2017-02-26,87,False
2017-03-05,86,False
2017-03-12,84,False
2017-03-19,88,False
2017-03-26,82,False
2017-04-02,84,False
2017-04-09,80,False
2017-04-16,80,False
2017-04-23,78,False
2017-04-30,82,False
2017-05-07,81,False
2017-05-14,77,False
2017-05-21,74,False
2017-05-28,73,False
2017-06-04,72,False
2017-06-11,74,False
2017-06-18,72,False
2017-06-25,72,False
2017-07-02,70,False
2017-07-09,75,False
2017-07-16,69,False
2017-07-23,72,False
2017-07-30,70,False
2017-08-06,68,False
2017-08-13,68,False
2017-08-20,69,False
2017-08-27,69,False
2017-09-03,70,False
2017-09-10,69,False
2017-09-17,69,False
2017-09-24,71,False
2017-10-01,70,False
2017-10-08,70,False
2017-10-15,67,False
2017-10-22,67,False
2017-10-29,68,False
2017-11-05,67,False
2017-11-12,68,False
2017-11-19,65,False
2017-11-26,67,False
2017-12-03,67,False
2017-12-10,66,False
2017-12-17,62,True
