date,Magnum,isPartial
2016-12-25,89,False
2017-01-01,83,False
2017-01-08,76,False
2017-01-15,82,False
2017-01-22,81,False
2017-01-29,86,False
2017-02-05,82,False
2017-02-12,76,False
2017-02-19,76,False
2017-02-26,85,False
2017-03-05,82,False
2017-03-12,76,False
2017-03-19,78,False
2017-03-26,83,False
2017-04-02,85,False
2017-04-09,79,False
2017-04-16,78,False
2017-04-23,83,False
2017-04-30,87,False
2017-05-07,83,False
2017-05-14,87,False
2017-05-21,83,False
2017-05-28,87,False
2017-06-04,90,False
2017-06-11,89,False
2017-06-18,90,False
2017-06-25,89,False
2017-07-02,95,False
2017-07-09,92,False
2017-07-16,89,False
2017-07-23,94,False
2017-07-30,97,False
2017-08-06,94,False
2017-08-13,90,False
2017-08-20,87,False
2017-08-27,90,False
2017-09-03,92,False
2017-09-10,100,False
2017-09-17,85,False
2017-09-24,82,False
2017-10-01,81,False
2017-10-08,84,False
2017-10-15,80,False
2017-10-22,82,False
2017-10-29,82,False
2017-11-05,96,False
2017-11-12,85,False
2017-11-19,80,False
2017-11-26,83,False
2017-12-03,85,False
2017-12-10,79,False
2017-12-17,81,True
