date,Dashs,isPartial
2016-12-25,58,False
2017-01-01,61,False
2017-01-08,57,False
2017-01-15,45,False
2017-01-22,46,False
2017-01-29,61,False
2017-02-05,62,False
2017-02-12,55,False
2017-02-19,51,False
2017-02-26,82,False
2017-03-05,65,False
2017-03-12,87,False
2017-03-19,62,False
2017-03-26,68,False
2017-04-02,62,False
2017-04-09,87,False
2017-04-16,39,False
2017-04-23,90,False
2017-04-30,63,False
2017-05-07,80,False
2017-05-14,71,False
2017-05-21,73,False
2017-05-28,74,False
2017-06-04,53,False
2017-06-11,42,False
2017-06-18,46,False
2017-06-25,86,False
2017-07-02,68,False
2017-07-09,55,False
2017-07-16,73,False
2017-07-23,66,False
2017-07-30,59,False
2017-08-06,93,False
2017-08-13,42,False
2017-08-20,53,False
2017-08-27,35,False
2017-09-03,35,False
2017-09-10,51,False
2017-09-17,63,False
2017-09-24,52,False
2017-10-01,57,False
2017-10-08,23,False
2017-10-15,51,False
2017-10-22,100,False
2017-10-29,39,False
2017-11-05,50,False
2017-11-12,38,False
2017-11-19,49,False
2017-11-26,27,False
2017-12-03,61,False
2017-12-10,100,False
2017-12-17,55,True
