date,Ethereum,isPartial
2017-01-01,4,False
2017-01-08,3,False
2017-01-15,3,False
2017-01-22,2,False
2017-01-29,2,False
2017-02-05,2,False
2017-02-12,3,False
2017-02-19,3,False
2017-02-26,7,False
2017-03-05,5,False
2017-03-12,13,False
2017-03-19,10,False
2017-03-26,9,False
2017-04-02,7,False
2017-04-09,6,False
2017-04-16,6,False
2017-04-23,10,False
2017-04-30,18,False
2017-05-07,14,False
2017-05-14,15,False
2017-05-21,49,False
2017-05-28,38,False
2017-06-04,44,False
2017-06-11,74,False
2017-06-18,58,False
2017-06-25,55,False
2017-07-02,35,False
2017-07-09,42,False
2017-07-16,39,False
2017-07-23,27,False
2017-07-30,26,False
2017-08-06,31,False
2017-08-13,31,False
2017-08-20,28,False
2017-08-27,34,False
2017-09-03,32,False
2017-09-10,27,False
2017-09-17,23,False
2017-09-24,19,False
2017-10-01,18,False
2017-10-08,24,False
2017-10-15,29,False
2017-10-22,23,False
2017-10-29,28,False
2017-11-05,32,False
2017-11-12,29,False
2017-11-19,43,False
2017-11-26,69,False
2017-12-03,76,False
2017-12-10,100,False
2017-12-17,90,False
2017-12-24,58,True
