date,Terracoin,isPartial
2016-12-25,0,False
2017-01-01,0,False
2017-01-08,34,False
2017-01-15,34,False
2017-01-22,34,False
2017-01-29,0,False
2017-02-05,0,False
2017-02-12,0,False
2017-02-19,0,False
2017-02-26,0,False
2017-03-05,0,False
2017-03-12,0,False
2017-03-19,67,False
2017-03-26,0,False
2017-04-02,33,False
2017-04-09,35,False
2017-04-16,0,False
2017-04-23,0,False
2017-04-30,0,False
2017-05-07,0,False
2017-05-14,0,False
2017-05-21,36,False
2017-05-28,36,False
2017-06-04,70,False
2017-06-11,36,False
2017-06-18,35,False
2017-06-25,37,False
2017-07-02,0,False
2017-07-09,36,False
2017-07-16,37,False
2017-07-23,35,False
2017-07-30,0,False
2017-08-06,0,False
2017-08-13,35,False
2017-08-20,0,False
2017-08-27,70,False
2017-09-03,34,False
2017-09-10,34,False
2017-09-17,0,False
2017-09-24,68,False
2017-10-01,68,False
2017-10-08,34,False
2017-10-15,34,False
2017-10-22,100,False
2017-10-29,34,False
2017-11-05,0,False
2017-11-12,0,False
2017-11-19,98,False
2017-11-26,97,False
2017-12-03,65,False
2017-12-10,66,False
2017-12-17,0,True
