date,DPAY,isPartial
2016-12-25,45,False
2017-01-01,34,False
2017-01-08,32,False
2017-01-15,47,False
2017-01-22,48,False
2017-01-29,39,False
2017-02-05,24,False
2017-02-12,0,False
2017-02-19,47,False
2017-02-26,23,False
2017-03-05,30,False
2017-03-12,46,False
2017-03-19,39,False
2017-03-26,48,False
2017-04-02,47,False
2017-04-09,24,False
2017-04-16,32,False
2017-04-23,55,False
2017-04-30,48,False
2017-05-07,16,False
2017-05-14,33,False
2017-05-21,34,False
2017-05-28,17,False
2017-06-04,33,False
2017-06-11,34,False
2017-06-18,33,False
2017-06-25,52,False
2017-07-02,35,False
2017-07-09,34,False
2017-07-16,60,False
2017-07-23,33,False
2017-07-30,17,False
2017-08-06,32,False
2017-08-13,8,False
2017-08-20,25,False
2017-08-27,65,False
2017-09-03,33,False
2017-09-10,16,False
2017-09-17,24,False
2017-09-24,8,False
2017-10-01,56,False
2017-10-08,40,False
2017-10-15,32,False
2017-10-22,47,False
2017-10-29,24,False
2017-11-05,8,False
2017-11-12,100,False
2017-11-19,31,False
2017-11-26,39,False
2017-12-03,16,False
2017-12-10,31,False
2017-12-17,33,True
