date,CHIPS,isPartial
2016-12-25,66,False
2017-01-01,67,False
2017-01-08,72,False
2017-01-15,69,False
2017-01-22,70,False
2017-01-29,68,False
2017-02-05,68,False
2017-02-12,66,False
2017-02-19,68,False
2017-02-26,73,False
2017-03-05,70,False
2017-03-12,74,False
2017-03-19,95,False
2017-03-26,100,False
2017-04-02,86,False
2017-04-09,86,False
2017-04-16,69,False
2017-04-23,70,False
2017-04-30,70,False
2017-05-07,67,False
2017-05-14,67,False
2017-05-21,67,False
2017-05-28,68,False
2017-06-04,66,False
2017-06-11,78,False
2017-06-18,78,False
2017-06-25,78,False
2017-07-02,79,False
2017-07-09,76,False
2017-07-16,76,False
2017-07-23,76,False
2017-07-30,75,False
2017-08-06,74,False
2017-08-13,72,False
2017-08-20,71,False
2017-08-27,70,False
2017-09-03,68,False
2017-09-10,64,False
2017-09-17,67,False
2017-09-24,66,False
2017-10-01,68,False
2017-10-08,67,False
2017-10-15,66,False
2017-10-22,68,False
2017-10-29,67,False
2017-11-05,68,False
2017-11-12,67,False
2017-11-19,67,False
2017-11-26,65,False
2017-12-03,67,False
2017-12-10,66,False
2017-12-17,69,True
