date,Virtacoin,isPartial
2016-12-25,3,False
2017-01-01,3,False
2017-01-08,3,False
2017-01-15,3,False
2017-01-22,8,False
2017-01-29,8,False
2017-02-05,11,False
2017-02-12,8,False
2017-02-19,6,False
2017-02-26,3,False
2017-03-05,8,False
2017-03-12,5,False
2017-03-19,11,False
2017-03-26,11,False
2017-04-02,8,False
2017-04-09,3,False
2017-04-16,0,False
2017-04-23,8,False
2017-04-30,3,False
2017-05-07,6,False
2017-05-14,0,False
2017-05-21,6,False
2017-05-28,3,False
2017-06-04,6,False
2017-06-11,3,False
2017-06-18,9,False
2017-06-25,6,False
2017-07-02,12,False
2017-07-09,9,False
2017-07-16,6,False
2017-07-23,6,False
2017-07-30,9,False
2017-08-06,11,False
2017-08-13,6,False
2017-08-20,17,False
2017-08-27,9,False
2017-09-03,9,False
2017-09-10,11,False
2017-09-17,14,False
2017-09-24,3,False
2017-10-01,6,False
2017-10-08,17,False
2017-10-15,11,False
2017-10-22,8,False
2017-10-29,14,False
2017-11-05,8,False
2017-11-12,5,False
2017-11-19,11,False
2017-11-26,19,False
2017-12-03,27,False
2017-12-10,35,False
2017-12-17,100,True
