date,Halcyon,isPartial
2016-12-25,26,False
2017-01-01,100,False
2017-01-08,72,False
2017-01-15,58,False
2017-01-22,54,False
2017-01-29,54,False
2017-02-05,52,False
2017-02-12,50,False
2017-02-19,70,False
2017-02-26,37,False
2017-03-05,32,False
2017-03-12,31,False
2017-03-19,30,False
2017-03-26,31,False
2017-04-02,29,False
2017-04-09,31,False
2017-04-16,28,False
2017-04-23,25,False
2017-04-30,26,False
2017-05-07,28,False
2017-05-14,26,False
2017-05-21,23,False
2017-05-28,25,False
2017-06-04,21,False
2017-06-11,23,False
2017-06-18,23,False
2017-06-25,25,False
2017-07-02,38,False
2017-07-09,31,False
2017-07-16,31,False
2017-07-23,30,False
2017-07-30,26,False
2017-08-06,25,False
2017-08-13,25,False
2017-08-20,23,False
2017-08-27,22,False
2017-09-03,26,False
2017-09-10,25,False
2017-09-17,24,False
2017-09-24,24,False
2017-10-01,26,False
2017-10-08,25,False
2017-10-15,26,False
2017-10-22,23,False
2017-10-29,25,False
2017-11-05,23,False
2017-11-12,24,False
2017-11-19,24,False
2017-11-26,23,False
2017-12-03,21,False
2017-12-10,20,False
2017-12-17,19,True
