date,Shift,isPartial
2016-12-25,71,False
2017-01-01,80,False
2017-01-08,82,False
2017-01-15,84,False
2017-01-22,88,False
2017-01-29,86,False
2017-02-05,86,False
2017-02-12,83,False
2017-02-19,89,False
2017-02-26,91,False
2017-03-05,92,False
2017-03-12,90,False
2017-03-19,92,False
2017-03-26,92,False
2017-04-02,94,False
2017-04-09,94,False
2017-04-16,96,False
2017-04-23,98,False
2017-04-30,99,False
2017-05-07,91,False
2017-05-14,91,False
2017-05-21,90,False
2017-05-28,89,False
2017-06-04,88,False
2017-06-11,91,False
2017-06-18,98,False
2017-06-25,100,False
2017-07-02,99,False
2017-07-09,94,False
2017-07-16,99,False
2017-07-23,98,False
2017-07-30,94,False
2017-08-06,94,False
2017-08-13,93,False
2017-08-20,91,False
2017-08-27,93,False
2017-09-03,96,False
2017-09-10,95,False
2017-09-17,96,False
2017-09-24,93,False
2017-10-01,93,False
2017-10-08,89,False
2017-10-15,87,False
2017-10-22,91,False
2017-10-29,88,False
2017-11-05,89,False
2017-11-12,87,False
2017-11-19,81,False
2017-11-26,85,False
2017-12-03,87,False
2017-12-10,82,False
2017-12-17,77,True
