date,PIVX,isPartial
2016-12-25,0,False
2017-01-01,0,False
2017-01-08,0,False
2017-01-15,1,False
2017-01-22,1,False
2017-01-29,1,False
2017-02-05,1,False
2017-02-12,2,False
2017-02-19,3,False
2017-02-26,2,False
2017-03-05,3,False
2017-03-12,8,False
2017-03-19,61,False
2017-03-26,32,False
2017-04-02,28,False
2017-04-09,60,False
2017-04-16,51,False
2017-04-23,40,False
2017-04-30,34,False
2017-05-07,39,False
2017-05-14,21,False
2017-05-21,42,False
2017-05-28,41,False
2017-06-04,23,False
2017-06-11,27,False
2017-06-18,25,False
2017-06-25,44,False
2017-07-02,32,False
2017-07-09,30,False
2017-07-16,28,False
2017-07-23,23,False
2017-07-30,19,False
2017-08-06,23,False
2017-08-13,23,False
2017-08-20,31,False
2017-08-27,39,False
2017-09-03,36,False
2017-09-10,20,False
2017-09-17,25,False
2017-09-24,17,False
2017-10-01,28,False
2017-10-08,32,False
2017-10-15,45,False
2017-10-22,26,False
2017-10-29,22,False
2017-11-05,36,False
2017-11-12,23,False
2017-11-19,40,False
2017-11-26,44,False
2017-12-03,40,False
2017-12-10,63,False
2017-12-17,100,True
