date,Speedcash,isPartial
2016-12-25,52,False
2017-01-01,33,False
2017-01-08,46,False
2017-01-15,78,False
2017-01-22,15,False
2017-01-29,46,False
2017-02-05,61,False
2017-02-12,90,False
2017-02-19,61,False
2017-02-26,15,False
2017-03-05,15,False
2017-03-12,0,False
2017-03-19,15,False
2017-03-26,15,False
2017-04-02,77,False
2017-04-09,31,False
2017-04-16,31,False
2017-04-23,30,False
2017-04-30,0,False
2017-05-07,61,False
2017-05-14,0,False
2017-05-21,33,False
2017-05-28,16,False
2017-06-04,32,False
2017-06-11,49,False
2017-06-18,80,False
2017-06-25,33,False
2017-07-02,50,False
2017-07-09,100,False
2017-07-16,33,False
2017-07-23,49,False
2017-07-30,32,False
2017-08-06,16,False
2017-08-13,80,False
2017-08-20,47,False
2017-08-27,0,False
2017-09-03,16,False
2017-09-10,16,False
2017-09-17,31,False
2017-09-24,46,False
2017-10-01,62,False
2017-10-08,46,False
2017-10-15,31,False
2017-10-22,15,False
2017-10-29,61,False
2017-11-05,45,False
2017-11-12,45,False
2017-11-19,45,False
2017-11-26,15,False
2017-12-03,15,False
2017-12-10,15,False
2017-12-17,0,True
