date,EGO,isPartial
2016-12-25,92,False
2017-01-01,89,False
2017-01-08,88,False
2017-01-15,91,False
2017-01-22,95,False
2017-01-29,95,False
2017-02-05,95,False
2017-02-12,96,False
2017-02-19,96,False
2017-02-26,100,False
2017-03-05,97,False
2017-03-12,94,False
2017-03-19,94,False
2017-03-26,95,False
2017-04-02,94,False
2017-04-09,99,False
2017-04-16,100,False
2017-04-23,94,False
2017-04-30,99,False
2017-05-07,96,False
2017-05-14,89,False
2017-05-21,83,False
2017-05-28,81,False
2017-06-04,76,False
2017-06-11,75,False
2017-06-18,76,False
2017-06-25,77,False
2017-07-02,76,False
2017-07-09,78,False
2017-07-16,72,False
2017-07-23,73,False
2017-07-30,80,False
2017-08-06,76,False
2017-08-13,74,False
2017-08-20,73,False
2017-08-27,75,False
2017-09-03,80,False
2017-09-10,75,False
2017-09-17,77,False
2017-09-24,74,False
2017-10-01,77,False
2017-10-08,76,False
2017-10-15,76,False
2017-10-22,78,False
2017-10-29,74,False
2017-11-05,74,False
2017-11-12,79,False
2017-11-19,78,False
2017-11-26,74,False
2017-12-03,76,False
2017-12-10,77,False
2017-12-17,73,True
