date,Roofs,isPartial
2016-12-25,63,False
2017-01-01,79,False
2017-01-08,97,False
2017-01-15,85,False
2017-01-22,93,False
2017-01-29,94,False
2017-02-05,90,False
2017-02-12,84,False
2017-02-19,93,False
2017-02-26,91,False
2017-03-05,99,False
2017-03-12,93,False
2017-03-19,88,False
2017-03-26,90,False
2017-04-02,100,False
2017-04-09,94,False
2017-04-16,95,False
2017-04-23,88,False
2017-04-30,92,False
2017-05-07,93,False
2017-05-14,95,False
2017-05-21,93,False
2017-05-28,89,False
2017-06-04,94,False
2017-06-11,82,False
2017-06-18,95,False
2017-06-25,91,False
2017-07-02,85,False
2017-07-09,98,False
2017-07-16,90,False
2017-07-23,90,False
2017-07-30,83,False
2017-08-06,86,False
2017-08-13,82,False
2017-08-20,85,False
2017-08-27,84,False
2017-09-03,94,False
2017-09-10,97,False
2017-09-17,94,False
2017-09-24,92,False
2017-10-01,92,False
2017-10-08,96,False
2017-10-15,89,False
2017-10-22,90,False
2017-10-29,83,False
2017-11-05,86,False
2017-11-12,91,False
2017-11-19,70,False
2017-11-26,75,False
2017-12-03,78,False
2017-12-10,72,False
2017-12-17,63,True
