date,Monkey Project,isPartial
2016-12-25,25,False
2017-01-01,19,False
2017-01-08,23,False
2017-01-15,24,False
2017-01-22,37,False
2017-01-29,42,False
2017-02-05,17,False
2017-02-12,30,False
2017-02-19,24,False
2017-02-26,32,False
2017-03-05,55,False
2017-03-12,36,False
2017-03-19,38,False
2017-03-26,36,False
2017-04-02,100,False
2017-04-09,33,False
2017-04-16,25,False
2017-04-23,27,False
2017-04-30,35,False
2017-05-07,43,False
2017-05-14,27,False
2017-05-21,30,False
2017-05-28,31,False
2017-06-04,18,False
2017-06-11,25,False
2017-06-18,24,False
2017-06-25,20,False
2017-07-02,25,False
2017-07-09,51,False
2017-07-16,20,False
2017-07-23,33,False
2017-07-30,34,False
2017-08-06,18,False
2017-08-13,15,False
2017-08-20,28,False
2017-08-27,19,False
2017-09-03,24,False
2017-09-10,26,False
2017-09-17,21,False
2017-09-24,21,False
2017-10-01,25,False
2017-10-08,30,False
2017-10-15,55,False
2017-10-22,18,False
2017-10-29,17,False
2017-11-05,29,False
2017-11-12,38,False
2017-11-19,29,False
2017-11-26,42,False
2017-12-03,26,False
2017-12-10,21,False
2017-12-17,38,True
