date,Birds,isPartial
2016-12-25,93,False
2017-01-01,98,False
2017-01-08,90,False
2017-01-15,91,False
2017-01-22,93,False
2017-01-29,95,False
2017-02-05,92,False
2017-02-12,91,False
2017-02-19,94,False
2017-02-26,91,False
2017-03-05,91,False
2017-03-12,90,False
2017-03-19,93,False
2017-03-26,94,False
2017-04-02,94,False
2017-04-09,97,False
2017-04-16,98,False
2017-04-23,98,False
2017-04-30,99,False
2017-05-07,100,False
2017-05-14,97,False
2017-05-21,93,False
2017-05-28,98,False
2017-06-04,93,False
2017-06-11,93,False
2017-06-18,92,False
2017-06-25,93,False
2017-07-02,90,False
2017-07-09,87,False
2017-07-16,86,False
2017-07-23,86,False
2017-07-30,85,False
2017-08-06,83,False
2017-08-13,83,False
2017-08-20,78,False
2017-08-27,78,False
2017-09-03,78,False
2017-09-10,77,False
2017-09-17,79,False
2017-09-24,77,False
2017-10-01,80,False
2017-10-08,77,False
2017-10-15,79,False
2017-10-22,82,False
2017-10-29,78,False
2017-11-05,78,False
2017-11-12,83,False
2017-11-19,78,False
2017-11-26,77,False
2017-12-03,77,False
2017-12-10,78,False
2017-12-17,77,True
