date,Kore,isPartial
2016-12-25,60,False
2017-01-01,52,False
2017-01-08,54,False
2017-01-15,57,False
2017-01-22,57,False
2017-01-29,56,False
2017-02-05,52,False
2017-02-12,52,False
2017-02-19,56,False
2017-02-26,53,False
2017-03-05,52,False
2017-03-12,53,False
2017-03-19,51,False
2017-03-26,51,False
2017-04-02,48,False
2017-04-09,100,False
2017-04-16,67,False
2017-04-23,63,False
2017-04-30,58,False
2017-05-07,51,False
2017-05-14,49,False
2017-05-21,51,False
2017-05-28,53,False
2017-06-04,54,False
2017-06-11,54,False
2017-06-18,53,False
2017-06-25,54,False
2017-07-02,63,False
2017-07-09,61,False
2017-07-16,57,False
2017-07-23,56,False
2017-07-30,59,False
2017-08-06,85,False
2017-08-13,75,False
2017-08-20,58,False
2017-08-27,56,False
2017-09-03,70,False
2017-09-10,62,False
2017-09-17,57,False
2017-09-24,53,False
2017-10-01,46,False
2017-10-08,46,False
2017-10-15,44,False
2017-10-22,45,False
2017-10-29,50,False
2017-11-05,50,False
2017-11-12,47,False
2017-11-19,48,False
2017-11-26,48,False
2017-12-03,56,False
2017-12-10,56,False
2017-12-17,49,True
