date,Syndicate,isPartial
2016-12-25,100,False
2017-01-01,84,False
2017-01-08,69,False
2017-01-15,67,False
2017-01-22,65,False
2017-01-29,71,False
2017-02-05,66,False
2017-02-12,61,False
2017-02-19,62,False
2017-02-26,68,False
2017-03-05,58,False
2017-03-12,59,False
2017-03-19,58,False
2017-03-26,61,False
2017-04-02,58,False
2017-04-09,58,False
2017-04-16,55,False
2017-04-23,56,False
2017-04-30,55,False
2017-05-07,54,False
2017-05-14,52,False
2017-05-21,52,False
2017-05-28,55,False
2017-06-04,53,False
2017-06-11,62,False
2017-06-18,59,False
2017-06-25,57,False
2017-07-02,57,False
2017-07-09,57,False
2017-07-16,59,False
2017-07-23,57,False
2017-07-30,58,False
2017-08-06,54,False
2017-08-13,53,False
2017-08-20,52,False
2017-08-27,57,False
2017-09-03,54,False
2017-09-10,56,False
2017-09-17,54,False
2017-09-24,54,False
2017-10-01,60,False
2017-10-08,59,False
2017-10-15,47,False
2017-10-22,57,False
2017-10-29,67,False
2017-11-05,61,False
2017-11-12,58,False
2017-11-19,55,False
2017-11-26,55,False
2017-12-03,56,False
2017-12-10,59,False
2017-12-17,53,True
