date,Asch,isPartial
2016-12-25,53,False
2017-01-01,60,False
2017-01-08,62,False
2017-01-15,75,False
2017-01-22,67,False
2017-01-29,85,False
2017-02-05,65,False
2017-02-12,68,False
2017-02-19,70,False
2017-02-26,80,False
2017-03-05,85,False
2017-03-12,72,False
2017-03-19,81,False
2017-03-26,83,False
2017-04-02,95,False
2017-04-09,66,False
2017-04-16,71,False
2017-04-23,84,False
2017-04-30,84,False
2017-05-07,68,False
2017-05-14,82,False
2017-05-21,63,False
2017-05-28,62,False
2017-06-04,57,False
2017-06-11,60,False
2017-06-18,59,False
2017-06-25,51,False
2017-07-02,51,False
2017-07-09,54,False
2017-07-16,57,False
2017-07-23,53,False
2017-07-30,60,False
2017-08-06,55,False
2017-08-13,73,False
2017-08-20,54,False
2017-08-27,77,False
2017-09-03,62,False
2017-09-10,55,False
2017-09-17,71,False
2017-09-24,86,False
2017-10-01,73,False
2017-10-08,75,False
2017-10-15,89,False
2017-10-22,72,False
2017-10-29,69,False
2017-11-05,88,False
2017-11-12,100,False
2017-11-19,59,False
2017-11-26,66,False
2017-12-03,75,False
2017-12-10,72,False
2017-12-17,64,True
